ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,borough
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061004500,10013,NEW YORK,NY,0.702443280977312,0.821064552661381,0.791907514450867,0.759578947368421,MN
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061004700,10013,NEW YORK,NY,0.624195032198712,0.789638932496075,0.73345259391771,0.673590504451038,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061003700,10014,NEW YORK,NY,0.584706248057196,0.414580265095729,0.272020725388601,0.513807700060471,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061006700,10014,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061006900,10014,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007300,10014,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007500,10014,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007700,10014,NEW YORK,NY,0.79734436221158,0.535147392290249,0.78443113772455,0.77528901734104,MN
10014.0,10014.0,10014,10014.0,10014 Greenwich Village - SoHo (Manhattan),5.0,5.0,95.0,36061007900,10014,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007000,10016,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007200,10016,NEW YORK,NY,0.772438443208895,0.762118491921005,0.990291262135922,0.781057268722466,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007400,10016,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061007800,10016,NEW YORK,NY,1.0,1.0,1.0,1.0,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061008000,10016,NEW YORK,NY,1.0,0.319719208679004,0.807407407407407,0.79737867516826,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061008200,10016,NEW YORK,NY,0.99523998413328,0.468869123252858,0.615384615384615,0.695927308129157,MN
10016.0,10016.0,10016,10016.0,,,0.0,90.0,36061008601,10016,NEW YORK,NY,1.0,0.962962962962962,1.0,0.999379652605459,MN
