ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061007100,10011,NEW YORK,NY,0.514987604237097,0.147368421052631,0.512038523274478,0.447096774193548
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061007700,10011,NEW YORK,NY,0.202655637788419,0.308390022675736,0.193612774451097,0.210260115606936
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008100,10011,NEW YORK,NY,1.0,1.0,1.0,1.0
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008300,10011,NEW YORK,NY,0.923969465648854,0.881170018281535,0.829875518672199,0.912626138321437
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008700,10011,NEW YORK,NY,0.764114592058971,0.59009628610729,0.987679671457905,0.761659473757482
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061008900,10011,NEW YORK,NY,1.0,1.0,1.0,1.0
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061009100,10011,NEW YORK,NY,0.621218487394957,0.350047303689687,0.540342298288508,0.569868294249919
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061009300,10011,NEW YORK,NY,0.761182714177407,0.874626865671641,0.815508021390374,0.769167579408543
10011.0,10011.0,10011,10011.0,10011 Chelsea - Clinton (Manhattan),6.0,6.0,85.0,36061009900,10011,NEW YORK,NY,0.298876404494382,0.196106705118961,0.363408521303258,0.283450006604147
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061003300,10012,NEW YORK,NY,0.0950968417379165,0.0751918158567774,0.00245398773006134,0.0816374544171273
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061003700,10012,NEW YORK,NY,0.0267329810382343,0.00147275405007363,0.0259067357512953,0.019754081838339
