Unnamed: 0,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio,FIPS,ZCTA,MODZCTA,ZCTA_str,zip_tai,Tai_idx,mods,mod_idx
215,36005023200,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
216,36005023301,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
217,36005023302,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
218,36005023501,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
219,36005023502,10457,BRONX,NY,1.0,1.0,1.0,1.0,36005,10457,10457,10457,10457.0,16,10457,16
220,36005023600,10462,BRONX,NY,0.826958106,0.923913043,0.836065574,0.840104849,36005,10462,10462,10462,10462.0,10,10462,10
222,36005023702,10458,BRONX,NY,1.0,1.0,1.0,1.0,36005,10458,10458,10458,10458.0,5,10458,5
224,36005023703,10468,BRONX,NY,0.999386126,0.915151515,1.0,0.992130115,36005,10468,10468,10468,10468.0,7,10468,7
225,36005023704,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
226,36005023800,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
228,36005023900,10468,BRONX,NY,0.507924806,0.49197861,0.534031414,0.508573277,36005,10468,10468,10468,10468.0,7,10468,7
229,36005024000,10460,BRONX,NY,0.96359743,0.9375,0.975308642,0.964544722,36005,10460,10460,10460,10460.0,17,10460,17
231,36005024100,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
232,36005024300,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
233,36005024400,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
234,36005024501,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
235,36005024502,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
236,36005024600,10462,BRONX,NY,1.0,1.0,1.0,1.0,36005,10462,10462,10462,10462.0,10,10462,10
237,36005024700,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
238,36005024800,10461,BRONX,NY,0.684110371,0.945205479,0.781818182,0.708265802,36005,10461,10461,10461,10461.0,9,10461,9
240,36005024900,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
241,36005025000,10461,BRONX,NY,0.763906057,0.981818182,0.666666667,0.767295597,36005,10461,10461,10461,10461.0,9,10461,9
243,36005025100,10453,BRONX,NY,1.0,1.0,1.0,1.0,36005,10453,10453,10453,10453.0,15,10453,15
244,36005025200,10462,BRONX,NY,0.823287671,0.64556962,0.872180451,0.815286624,36005,10462,10462,10462,10462.0,10,10462,10
247,36005025300,10468,BRONX,NY,0.990004543,0.875,0.961783439,0.983700081,36005,10468,10468,10468,10468.0,7,10468,7
248,36005025400,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
250,36005025500,10468,BRONX,NY,0.719362187,0.795918367,0.827586207,0.727501046,36005,10468,10468,10468,10468.0,7,10468,7
252,36005025600,10461,BRONX,NY,0.994392523,0.840909091,0.976744186,0.982315113,36005,10461,10461,10461,10461.0,9,10461,9
253,36005025700,10468,BRONX,NY,1.0,1.0,1.0,1.0,36005,10468,10468,10468,10468.0,7,10468,7
254,36005026100,10468,BRONX,NY,1.0,1.0,1.0,1.0,36005,10468,10468,10468,10468.0,7,10468,7
255,36005026300,10468,BRONX,NY,1.0,1.0,1.0,1.0,36005,10468,10468,10468,10468.0,7,10468,7
256,36005026400,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
257,36005026500,10468,BRONX,NY,1.0,1.0,1.0,1.0,36005,10468,10468,10468,10468.0,7,10468,7
258,36005026601,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
259,36005026602,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
260,36005026701,10468,BRONX,NY,1.0,1.0,1.0,1.0,36005,10468,10468,10468,10468.0,7,10468,7
261,36005026702,10468,BRONX,NY,1.0,1.0,1.0,1.0,36005,10468,10468,10468,10468.0,7,10468,7
262,36005026900,10463,BRONX,NY,0.652837096,0.795918367,0.576923077,0.653454134,36005,10463,10463,10463,10463.0,0,10463,0
265,36005027300,10463,BRONX,NY,0.688466112,0.625,0.691275168,0.687869822,36005,10463,10463,10463,10463.0,0,10463,0
266,36005027401,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
267,36005027402,10465,BRONX,NY,1.0,1.0,1.0,1.0,36005,10465,10465,10465,10465.0,12,10465,12
268,36005027600,10461,BRONX,NY,0.625,1.0,1.0,0.769230769,36005,10461,10461,10461,10461.0,9,10461,9
270,36005027700,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
271,36005027900,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
272,36005028100,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
273,36005028300,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
274,36005028400,10461,BRONX,NY,1.0,0.976190476,1.0,0.980392157,36005,10461,10461,10461,10461.0,9,10461,9
276,36005028500,10463,BRONX,NY,0.865074958,0.638554217,0.9,0.857572718,36005,10463,10463,10463,10463.0,0,10463,0
278,36005028600,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
279,36005028700,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
280,36005028800,10461,BRONX,NY,1.0,1.0,1.0,1.0,36005,10461,10461,10461,10461.0,9,10461,9
281,36005028900,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
282,36005029301,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
283,36005029302,10463,BRONX,NY,1.0,1.0,1.0,1.0,36005,10463,10463,10463,10463.0,0,10463,0
